iter	Passed	Remaining
0	0	86
1	1	82
2	2	79
3	2	70
4	3	70
5	4	70
6	5	71
7	6	70
8	6	69
9	7	69
10	8	67
11	9	66
12	9	65
13	10	64
14	11	63
15	11	62
16	12	60
17	13	60
18	13	59
19	14	58
20	15	57
21	16	57
22	17	57
23	17	56
24	18	55
25	19	54
26	19	53
27	20	53
28	21	52
29	22	51
30	22	50
31	23	50
32	24	49
33	25	49
34	26	48
35	26	47
36	27	46
37	28	45
38	28	45
39	29	44
40	30	43
41	30	42
42	31	41
43	31	40
44	32	39
45	33	39
46	34	38
47	34	37
48	35	36
49	36	36
50	36	35
51	37	34
52	38	33
53	38	32
54	39	31
55	39	31
56	40	30
57	40	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	26
63	45	25
64	45	24
65	46	23
66	47	23
67	48	22
68	48	21
69	49	21
70	50	20
71	51	19
72	51	19
73	52	18
74	53	17
75	54	17
76	54	16
77	55	15
78	56	14
79	56	14
80	57	13
81	58	12
82	58	12
83	59	11
84	60	10
85	60	9
86	61	9
87	62	8
88	62	7
89	63	7
90	64	6
91	65	5
92	65	4
93	66	4
94	67	3
95	68	2
96	68	2
97	69	1
98	70	0
99	70	0
