iter	Passed	Remaining
0	161	160895
1	162	81329
2	164	54614
3	166	41523
4	169	33695
5	171	28372
6	172	24433
7	173	21516
8	174	19224
9	175	17384
10	176	15883
11	177	14649
12	179	13625
13	180	12725
14	182	11991
15	184	11375
16	186	10782
17	187	10228
18	188	9725
19	189	9286
20	190	8876
21	191	8510
22	192	8176
23	193	7876
24	194	7599
25	196	7347
26	197	7116
27	198	6895
28	199	6695
29	201	6504
30	202	6343
31	204	6181
32	205	6017
33	206	5859
34	207	5711
35	208	5577
36	210	5488
37	213	5403
38	215	5300
39	216	5188
40	217	5082
41	218	4978
42	219	4879
43	220	4782
44	221	4696
45	223	4633
46	225	4566
47	228	4537
48	230	4464
49	231	4389
50	232	4318
51	233	4250
52	234	4182
53	235	4118
54	236	4055
55	237	3995
56	239	3956
57	241	3920
58	242	3871
59	243	3821
60	244	3770
61	245	3720
62	246	3672
63	247	3623
64	248	3577
65	249	3534
66	250	3490
67	251	3452
68	253	3417
69	256	3411
70	258	3377
71	259	3341
72	260	3304
73	261	3268
74	262	3234
75	263	3200
76	264	3169
77	265	3140
78	267	3123
79	269	3099
80	270	3069
81	271	3040
82	271	3004
83	273	2977
84	274	2950
85	275	2923
86	276	2897
87	277	2873
88	279	2861
89	282	2858
90	284	2846
91	286	2824
92	287	2801
93	288	2779
94	289	2760
95	291	2740
96	292	2718
97	294	2708
98	296	2701
99	297	2681
100	299	2662
101	300	2644
102	302	2631
103	303	2613
104	304	2594
105	305	2574
106	305	2553
107	306	2535
108	308	2522
109	310	2511
110	311	2498
111	313	2483
112	314	2465
113	314	2446
114	315	2428
115	316	2410
116	316	2392
117	317	2374
118	318	2358
119	319	2341
120	320	2324
121	320	2308
122	321	2293
123	323	2282
124	324	2273
125	325	2260
126	326	2245
127	327	2230
128	328	2217
129	329	2204
130	330	2192
131	331	2179
132	332	2167
133	333	2155
134	334	2142
135	335	2131
136	336	2119
137	337	2110
138	339	2103
139	341	2096
140	342	2084
141	342	2071
142	343	2060
143	344	2048
144	345	2036
145	346	2024
146	347	2014
147	348	2004
148	349	1995
149	350	1986
150	351	1977
151	353	1969
152	354	1962
153	355	1952
154	356	1942
155	356	1931
156	357	1921
157	358	1911
158	359	1902
159	360	1892
160	361	1881
161	361	1871
162	362	1861
163	363	1852
164	364	1843
165	365	1835
166	366	1828
167	367	1821
168	368	1812
169	369	1804
170	370	1795
171	371	1787
172	372	1779
173	373	1771
174	374	1763
175	374	1755
176	375	1746
177	378	1746
178	379	1740
179	381	1735
180	383	1735
181	384	1727
182	385	1719
183	386	1712
184	387	1705
185	388	1698
186	388	1690
187	389	1682
188	390	1675
189	391	1668
190	392	1661
191	393	1654
192	394	1648
193	395	1643
194	396	1638
195	397	1631
196	398	1625
197	399	1619
198	400	1612
199	401	1605
200	402	1599
201	403	1593
202	404	1586
203	404	1579
204	405	1573
205	406	1566
206	407	1560
207	408	1554
208	409	1550
209	410	1545
210	411	1539
211	412	1532
212	413	1526
213	413	1520
214	414	1513
215	415	1508
216	416	1502
217	417	1496
218	418	1490
219	418	1485
220	419	1479
221	420	1474
222	421	1468
223	422	1463
224	423	1459
225	424	1453
226	425	1448
227	426	1443
228	427	1437
229	427	1432
230	428	1426
231	429	1421
232	430	1416
233	431	1411
234	432	1406
235	432	1401
236	433	1396
237	434	1391
238	435	1385
239	436	1380
240	436	1375
241	437	1371
242	438	1367
243	439	1362
244	440	1357
245	441	1352
246	442	1347
247	442	1342
248	443	1338
249	444	1333
250	445	1328
251	446	1323
252	446	1319
253	447	1314
254	448	1310
255	449	1305
256	450	1301
257	450	1296
258	451	1292
259	452	1288
260	453	1284
261	454	1280
262	455	1276
263	456	1271
264	456	1267
265	457	1263
266	458	1258
267	459	1254
268	460	1250
269	460	1246
270	461	1242
271	462	1238
272	463	1234
273	464	1230
274	464	1225
275	465	1221
276	466	1218
277	467	1214
278	468	1210
279	469	1207
280	470	1203
281	470	1199
282	471	1195
283	472	1191
284	473	1187
285	474	1184
286	475	1180
287	476	1177
288	477	1174
289	478	1170
290	479	1167
291	480	1164
292	481	1161
293	482	1158
294	483	1156
295	484	1153
296	485	1150
297	487	1147
298	488	1145
299	489	1142
300	490	1138
301	491	1135
302	491	1131
303	492	1128
304	493	1124
305	494	1122
306	496	1119
307	497	1116
308	497	1113
309	498	1110
310	499	1107
311	500	1104
312	501	1101
313	502	1098
314	503	1095
315	504	1092
316	505	1089
317	506	1086
318	507	1083
319	508	1080
320	509	1077
321	510	1075
322	512	1074
323	513	1071
324	514	1069
325	515	1066
326	516	1063
327	517	1060
328	518	1057
329	519	1054
330	520	1052
331	521	1049
332	522	1046
333	523	1043
334	524	1040
335	525	1038
336	526	1036
337	527	1034
338	529	1031
339	530	1028
340	531	1027
341	532	1024
342	533	1021
343	534	1019
344	535	1016
345	536	1013
346	537	1010
347	538	1009
348	539	1006
349	540	1003
350	541	1001
351	542	998
352	543	996
353	544	993
354	545	990
355	546	988
356	547	985
357	547	982
358	548	979
359	549	976
360	550	974
361	551	971
362	552	968
363	552	966
364	553	963
365	554	960
366	556	959
367	557	957
368	558	954
369	559	952
370	560	949
371	561	947
372	561	944
373	563	943
374	564	940
375	565	937
376	565	935
377	566	932
378	567	930
379	569	928
380	570	926
381	571	924
382	572	922
383	573	920
384	574	917
385	575	915
386	576	913
387	577	911
388	578	908
389	579	906
390	580	904
391	581	901
392	582	899
393	583	896
394	584	894
395	585	892
396	586	890
397	587	888
398	588	886
399	589	884
400	590	881
401	591	879
402	592	877
403	593	876
404	595	874
405	595	871
406	596	869
407	597	867
408	598	864
409	600	863
410	601	861
411	602	860
412	604	859
413	605	857
414	606	855
415	607	853
416	608	850
417	609	848
418	610	846
419	611	844
420	612	841
421	613	839
422	614	838
423	616	837
424	617	835
425	618	833
426	619	831
427	620	829
428	621	827
429	622	825
430	623	823
431	624	820
432	625	818
433	626	816
434	627	815
435	629	813
436	631	813
437	632	812
438	633	809
439	634	807
440	635	805
441	636	803
442	637	801
443	638	799
444	639	797
445	640	795
446	641	793
447	642	791
448	644	790
449	646	789
450	647	788
451	648	786
452	649	784
453	650	782
454	651	780
455	652	778
456	653	776
457	654	774
458	655	772
459	656	771
460	658	769
461	659	767
462	661	767
463	662	765
464	663	763
465	664	761
466	665	759
467	666	757
468	667	755
469	668	754
470	670	752
471	671	751
472	673	750
473	675	749
474	676	747
475	677	745
476	678	743
477	679	741
478	680	739
479	681	738
480	682	736
481	683	734
482	684	732
483	686	731
484	687	730
485	689	729
486	690	727
487	691	725
488	692	723
489	693	721
490	694	720
491	695	718
492	696	716
493	697	714
494	698	712
495	700	711
496	701	710
497	703	709
498	704	707
499	705	705
500	706	703
501	707	702
502	708	700
503	709	698
504	710	696
505	711	694
506	712	693
507	714	691
508	715	690
509	717	689
510	718	687
511	719	686
512	720	684
513	721	682
514	722	680
515	723	679
516	724	677
517	726	675
518	727	674
519	729	673
520	731	672
521	732	670
522	733	669
523	734	667
524	736	666
525	737	664
526	738	663
527	739	661
528	741	659
529	742	658
530	743	656
531	745	655
532	746	654
533	747	652
534	748	650
535	749	648
536	750	646
537	751	645
538	752	643
539	753	641
540	753	639
541	755	638
542	756	636
543	758	635
544	760	634
545	761	633
546	762	631
547	763	629
548	764	627
549	765	626
550	766	624
551	767	622
552	767	620
553	769	619
554	770	617
555	772	617
556	773	615
557	774	613
558	775	612
559	776	610
560	777	608
561	778	606
562	779	604
563	779	602
564	780	601
565	781	599
566	782	597
567	783	595
568	784	594
569	786	593
570	787	591
571	788	590
572	789	588
573	790	586
574	791	584
575	792	583
576	793	581
577	793	579
578	794	577
579	795	575
580	796	574
581	797	572
582	798	571
583	799	569
584	802	569
585	803	567
586	803	565
587	804	563
588	805	562
589	806	560
590	807	558
591	808	556
592	808	555
593	809	553
594	810	551
595	811	550
596	812	548
597	814	547
598	815	546
599	816	544
600	817	542
601	818	541
602	819	539
603	820	537
604	821	536
605	821	534
606	822	532
607	823	530
608	824	529
609	825	527
610	825	525
611	827	524
612	828	523
613	830	522
614	831	520
615	832	519
616	833	517
617	834	515
618	835	514
619	835	512
620	836	510
621	837	508
622	838	507
623	839	505
624	839	503
625	840	502
626	842	500
627	843	499
628	844	498
629	845	496
630	846	495
631	847	493
632	848	491
633	848	490
634	849	488
635	850	486
636	851	485
637	852	483
638	852	481
639	853	480
640	854	478
641	855	477
642	856	475
643	858	474
644	859	473
645	860	471
646	861	469
647	861	468
648	862	466
649	863	465
650	864	463
651	865	461
652	866	460
653	866	458
654	867	457
655	868	455
656	869	453
657	870	452
658	871	451
659	872	449
660	873	448
661	874	446
662	875	444
663	876	443
664	876	441
665	877	440
666	878	438
667	879	436
668	880	435
669	880	433
670	881	432
671	882	430
672	883	429
673	884	427
674	885	426
675	886	425
676	887	423
677	888	421
678	889	420
679	890	418
680	890	417
681	891	415
682	892	414
683	893	412
684	894	411
685	895	409
686	895	408
687	896	406
688	897	405
689	898	403
690	899	402
691	901	401
692	902	399
693	902	398
694	903	396
695	904	395
696	905	393
697	906	392
698	906	390
699	907	389
700	908	387
701	909	386
702	910	384
703	910	382
704	911	381
705	912	379
706	913	378
707	915	377
708	916	376
709	917	374
710	918	373
711	919	371
712	920	370
713	921	369
714	922	367
715	923	366
716	923	364
717	924	363
718	925	361
719	926	360
720	928	359
721	929	358
722	931	356
723	931	355
724	932	353
725	934	352
726	935	351
727	936	349
728	937	348
729	937	346
730	938	345
731	939	344
732	940	342
733	941	341
734	943	340
735	944	338
736	946	337
737	947	336
738	948	334
739	949	333
740	950	332
741	951	330
742	952	329
743	953	328
744	954	326
745	955	325
746	956	323
747	957	322
748	958	321
749	960	320
750	961	318
751	961	317
752	962	315
753	963	314
754	964	313
755	966	311
756	966	310
757	967	308
758	968	307
759	969	306
760	970	304
761	971	303
762	972	302
763	974	300
764	975	299
765	976	298
766	977	296
767	978	295
768	979	294
769	980	292
770	981	291
771	981	289
772	983	288
773	984	287
774	985	285
775	985	284
776	986	283
777	987	281
778	989	280
779	990	279
780	991	278
781	992	276
782	993	275
783	994	273
784	995	272
785	996	271
786	996	269
787	997	268
788	998	267
789	999	265
790	999	264
791	1001	262
792	1002	261
793	1003	260
794	1005	259
795	1005	257
796	1006	256
797	1007	255
798	1008	253
799	1010	252
800	1011	251
801	1011	249
802	1012	248
803	1013	247
804	1014	245
805	1015	244
806	1016	243
807	1017	241
808	1019	240
809	1020	239
810	1021	238
811	1022	236
812	1023	235
813	1025	234
814	1026	232
815	1027	231
816	1028	230
817	1029	229
818	1031	227
819	1032	226
820	1034	225
821	1035	224
822	1036	222
823	1037	221
824	1038	220
825	1039	219
826	1040	217
827	1041	216
828	1042	215
829	1043	213
830	1045	212
831	1046	211
832	1048	210
833	1049	208
834	1050	207
835	1051	206
836	1052	205
837	1053	203
838	1054	202
839	1055	201
840	1056	199
841	1057	198
842	1058	197
843	1059	195
844	1061	194
845	1062	193
846	1063	192
847	1064	190
848	1065	189
849	1066	188
850	1067	186
851	1068	185
852	1069	184
